"Edit","Word Completion","⌃.","Editing Text","org.eclipse.ui.edit.text.hippieCompletion"
"Window","Next Perspective","⌘F8","In Windows","org.eclipse.ui.window.nextPerspective"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor","org.eclipse.cdt.ui.edit.open.call.hierarchy"
"Source","Toggle Comment","⌘/","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows","org.eclipse.jdt.debug.ui.commands.Display"
"Terminal view commands","Paste","⌘V","Terminal Control in Focus","org.eclipse.tm.terminal.paste"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks Editor","org.eclipse.mylyn.tasks.ui.command.markTaskIncomplete"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"C/C++ Source","Find Word","⌘F3","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.find.word"
"Search","References in Workspace","⇧⌘G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"C/C++ Source","Toggle Comment","⌘/","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.toggle.comment"
"C/C++ Source","Copy Qualified Name","⌥⇧⌘C","C/C++ Editor","org.eclipse.cdt.ui.edit.text.c.copy.qualified.name"
"Views","Show View","⌥⌘Q Q","In Windows","org.eclipse.ui.views.showView"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.structure.select.enclosing"
"Focused UI","Show Context Quick View","⌥⇧⌘→","In Windows","org.eclipse.mylyn.context.ui.commands.open.context.dialog"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text","org.eclipse.ui.edit.text.copyLineDown"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text","org.eclipse.ui.edit.text.delete.line.to.end"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⌥⇧↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskReadGoToPreviousUnread"
